,AtBat,Inning,Batter,Pitcher,Outs,Bases,Score,Play,PitchSeq,lastEvent,LI,RE,WE,WPA,RE24,Year,Game,InningNum
2161,78,▼ 8,K Youkilis,L Hawkins,0,___,13-1,Kevin Youkilis struck out swinging.,"Foul Ball, Foul Ball, Strikeout Swinging",Strikeout,0.0,0.58,100.0%,0.0,-0.27,2007,1, 8
2162,79,▼ 8,E Hinske,L Hawkins,1,___,13-1,Eric Hinske struck out swinging.,"Foul Ball, Swinging Strike, Strikeout Swinging",Strikeout,0.0,0.31,100.0%,0.0,-0.19,2007,1, 8
2163,80,▼ 8,C Crisp,L Hawkins,2,___,13-1,Coco Crisp grounded out to shortstop.,Ground Out,Ground Out,0.0,0.12,100.0%,0.0,-0.12,2007,1, 8
2164,81,▲ 9,T Helton,E Gagne,0,___,13-1,Todd Helton flied out to left.,"Ball, Fly Out",Fly Out,0.0,0.58,100.0%,0.0,-0.27,2007,1, 9
2165,82,▲ 9,G Atkins,E Gagne,1,___,13-1,Garrett Atkins flied out to center.,"Called Strike, Ball, Foul Ball, Fly Out",Fly Out,0.0,0.31,100.0%,0.0,-0.19,2007,1, 9
2166,83,▲ 9,B Hawpe,E Gagne,2,___,13-1,Brad Hawpe struck out swinging.,"Foul Ball, Swinging Strike, Ball, Foul Ball, Strikeout Swinging",Strikeout,0.0,0.12,100.0%,0.0,-0.12,2007,1, 9
2167,1,▲ 1,J Ellsbury,A Cook,0,___,0-0,Jacoby Ellsbury doubled to left (Liner).,"Ball, Double",Double,0.87,0.62,44.6%,0.054,0.64,2007,4, 1
2168,2,▲ 1,D Pedroia,A Cook,0,_2_,0-0,Dustin Pedroia grounded out to third. Jacoby Ellsbury advanced to 3B.,"Foul Bunt, Ground Out",Ground Out,1.11,1.26,46.3%,-0.017,-0.23,2007,4, 1
2169,3,▲ 1,D Ortiz,A Cook,1,__3,0-0,David Ortiz singled to right (Grounder). Jacoby Ellsbury scored.,Single,Single,1.18,1.03,41.3%,0.05,0.59,2007,4, 1
2170,4,▲ 1,M Ramirez,A Cook,1,1__,0-1,Manny Ramirez grounded into a double play to third (Grounder). David Ortiz out at second.,"Ball, Swinging Strike, Foul Ball, Grounded Into Double Play",Grounded Into Double Play,1.05,0.62,46.3%,-0.049,-0.62,2007,4, 1
2171,5,▼ 1,K Matsui,J Lester,0,___,0-1,Kaz Matsui flied out to pitcher.,"Ball, Called Strike, Fly Out",Fly Out,0.92,0.62,43.8%,-0.025,-0.28,2007,4, 1
2172,6,▼ 1,T Tulowitzki,J Lester,1,___,0-1,Troy Tulowitzki struck out swinging.,"Foul Ball, Ball, Ball, Swinging Strike, Foul Ball, Strikeout Swinging",Strikeout,0.67,0.33,42.0%,-0.018,-0.2,2007,4, 1
2173,7,▼ 1,M Holliday,J Lester,2,___,0-1,Matt Holliday grounded out to second.,"Ball, Swinging Strike, Ground Out",Ground Out,0.43,0.13,40.8%,-0.012,-0.13,2007,4, 1
2174,8,▲ 2,M Lowell,A Cook,0,___,0-1,Mike Lowell grounded out to third.,"Called Strike, Ground Out",Ground Out,0.84,0.62,43.1%,-0.023,-0.28,2007,4, 2
2175,9,▲ 2,J Drew,A Cook,1,___,0-1,J.D. Drew flied out to second.,"Called Strike, Fly Out",Fly Out,0.63,0.33,44.8%,-0.017,-0.2,2007,4, 2
2176,10,▲ 2,J Varitek,A Cook,2,___,0-1,Jason Varitek grounded out to second.,"Ball, Called Strike, Ball, Ball, Foul Ball, Ground Out",Ground Out,0.41,0.13,45.9%,-0.011,-0.13,2007,4, 2
2177,11,▼ 2,T Helton,J Lester,0,___,0-1,Todd Helton doubled to center (Liner).,"Foul Ball, Ball, Foul Ball, Ball, Ball, Double",Double,0.98,0.62,52.0%,0.061,0.64,2007,4, 2
2178,12,▼ 2,G Atkins,J Lester,0,_2_,0-1,Garrett Atkins grounded out to shortstop.,"Called Strike, Foul Ball, Ground Out",Ground Out,1.26,1.26,47.5%,-0.045,-0.48,2007,4, 2
2179,13,▼ 2,R Spilborghs,J Lester,1,_2_,0-1,Ryan Spilborghs flied out to center. Todd Helton advanced to 3B.,"Foul Ball, Fly Out",Fly Out,1.28,0.77,44.1%,-0.034,-0.36,2007,4, 2
2180,14,▼ 2,B Hawpe,J Lester,2,__3,0-1,Brad Hawpe walked.,"Ball, Called Strike, Ball, Ball, Walked",Walk,1.38,0.41,45.5%,0.014,0.16,2007,4, 2
2181,15,▼ 2,Y Torrealba,J Lester,2,1_3,0-1,Yorvit Torrealba grounded out to shortstop.,"Called Strike, Swinging Strike, Pickoff Throw (First Base), Foul Ball, Ground Out",Ground Out,1.86,0.57,40.0%,-0.055,-0.57,2007,4, 2
2182,16,▲ 3,J Lugo,A Cook,0,___,0-1,Julio Lugo grounded out to second.,"Called Strike, Foul Ball, Ground Out",Ground Out,0.9,0.62,42.5%,-0.024,-0.28,2007,4, 3
2183,17,▲ 3,J Lester,A Cook,1,___,0-1,Jon Lester grounded out to third.,"Called Strike, Ball, Ground Out",Ground Out,0.67,0.33,44.3%,-0.018,-0.2,2007,4, 3
2184,18,▲ 3,J Ellsbury,A Cook,2,___,0-1,Jacoby Ellsbury grounded out to second.,"Ball, Ball, Foul Ball, Ground Out",Ground Out,0.45,0.13,45.5%,-0.012,-0.13,2007,4, 3
2185,19,▼ 3,A Cook,J Lester,0,___,0-1,Aaron Cook flied out to right.,"Called Strike, Swinging Strike, Foul Ball, Ball, Fly Out",Fly Out,1.06,0.62,42.6%,-0.029,-0.28,2007,4, 3
2186,20,▼ 3,K Matsui,J Lester,1,___,0-1,Kaz Matsui doubled to left (Liner).,"Called Strike, Swinging Strike, Foul Ball, Double",Double,0.79,0.33,47.2%,0.046,0.44,2007,4, 3
2187,21,▼ 3,T Tulowitzki,J Lester,1,_2_,0-1,Troy Tulowitzki struck out swinging.,"Foul Ball, Foul Ball, Ball, Ball, Strikeout Swinging",Strikeout,1.39,0.77,43.0%,-0.042,-0.4,2007,4, 3
2188,22,▼ 3,M Holliday,J Lester,2,_2_,0-1,Matt Holliday struck out swinging.,"Ball, Swinging Strike, Ball, Swinging Strike, Foul Ball, Strikeout Swinging",Strikeout,1.3,0.37,39.1%,-0.039,-0.37,2007,4, 3
2189,23,▲ 4,D Pedroia,A Cook,0,___,0-1,Dustin Pedroia grounded out to first.,"Ball, Foul Ball, Ball, Ground Out",Ground Out,0.94,0.62,41.7%,-0.026,-0.28,2007,4, 4
2190,24,▲ 4,D Ortiz,A Cook,1,___,0-1,David Ortiz flied out to shortstop.,"Called Strike, Called Strike, Foul Ball, Ball, Fly Out",Fly Out,0.72,0.33,43.6%,-0.019,-0.2,2007,4, 4
2191,25,▲ 4,M Ramirez,A Cook,2,___,0-1,Manny Ramirez flied out to left.,"Called Strike, Ball, Swinging Strike, Fly Out",Fly Out,0.47,0.13,44.9%,-0.013,-0.13,2007,4, 4
2192,26,▼ 4,T Helton,J Lester,0,___,0-1,Todd Helton grounded out to second.,"Called Strike, Ball, Ball, Ball, Ground Out",Ground Out,1.17,0.62,41.7%,-0.032,-0.28,2007,4, 4
2193,27,▼ 4,G Atkins,J Lester,1,___,0-1,Garrett Atkins lined out to shortstop.,Line Drive,Line Out,0.87,0.33,39.3%,-0.023,-0.2,2007,4, 4
2194,28,▼ 4,R Spilborghs,J Lester,2,___,0-1,Ryan Spilborghs walked.,"Ball, Called Strike, Foul Ball, Ball, Ball, Walked",Walk,0.57,0.13,41.0%,0.017,0.14,2007,4, 4
2195,29,▼ 4,B Hawpe,J Lester,2,1__,0-1,Brad Hawpe flied out to center.,"Swinging Strike, Ball, Pickoff Throw (First Base), Pickoff Throw (First Base), Foul Ball, Pickoff Throw (First Base), Fly Out",Fly Out,1.07,0.28,37.8%,-0.032,-0.27,2007,4, 4
2196,30,▲ 5,M Lowell,A Cook,0,___,0-1,Mike Lowell doubled to left (Liner).,Double,Double,1.0,0.62,31.5%,0.063,0.64,2007,4, 5
2197,31,▲ 5,J Drew,A Cook,0,_2_,0-1,J.D. Drew grounded out to pitcher.,"Ball, Ground Out",Ground Out,1.2,1.26,36.1%,-0.046,-0.48,2007,4, 5
2198,32,▲ 5,J Varitek,A Cook,1,_2_,0-1,Jason Varitek singled to right (Grounder). Mike Lowell scored.,"Ball, Single",Single,1.32,0.77,27.2%,0.088,0.85,2007,4, 5
2199,33,▲ 5,J Lugo,A Cook,1,1__,0-2,Julio Lugo singled to center (Grounder). Jason Varitek advanced to 2B.,Single,Single,1.02,0.62,24.4%,0.028,0.4,2007,4, 5
2200,34,▲ 5,J Lester,A Cook,1,12_,0-2,Jon Lester struck out swinging.,"Missed Bunt, Ball, Ball, Missed Bunt, Ball, Strikeout Swinging",Strikeout,1.55,1.03,28.2%,-0.038,-0.53,2007,4, 5
2201,35,▲ 5,J Ellsbury,A Cook,2,12_,0-2,Jacoby Ellsbury struck out swinging.,"Foul Ball, Ball, Ball, Foul Ball, Strikeout Swinging",Strikeout,1.41,0.5,32.1%,-0.039,-0.5,2007,4, 5
2202,36,▼ 5,Y Torrealba,J Lester,0,___,0-2,Yorvit Torrealba flied out to shortstop.,"Called Strike, Ball, Swinging Strike, Foul Ball, Foul Ball, Fly Out",Fly Out,1.27,0.62,28.6%,-0.035,-0.28,2007,4, 5
2203,37,▼ 5,A Cook,J Lester,1,___,0-2,Aaron Cook singled to second (Bunt Grounder).,"Foul Ball, Single",Single,0.93,0.33,32.2%,0.036,0.29,2007,4, 5
2204,38,▼ 5,K Matsui,J Lester,1,1__,0-2,Kaz Matsui flied out to shortstop.,"Ball, Swinging Strike, Fly Out",Fly Out,1.65,0.62,27.9%,-0.043,-0.35,2007,4, 5
2205,39,▼ 5,T Tulowitzki,J Lester,2,1__,0-2,Troy Tulowitzki reached on fielder's choice to third. Aaron Cook out at second.,Fielder's Choice,Fielders Choice,1.12,0.28,24.5%,-0.034,-0.27,2007,4, 5
2206,40,▲ 6,D Pedroia,A Cook,0,___,0-2,Dustin Pedroia grounded out to pitcher.,"Ball, Foul Ball, Ball, Ground Out",Ground Out,0.77,0.62,26.6%,-0.021,-0.28,2007,4, 6
2207,41,▲ 6,D Ortiz,A Cook,1,___,0-2,David Ortiz grounded out to shortstop.,"Foul Ball, Ball, Ground Out",Ground Out,0.6,0.33,28.2%,-0.016,-0.2,2007,4, 6
2208,42,▲ 6,M Ramirez,A Cook,2,___,0-2,Manny Ramirez grounded out to third.,"Foul Ball, Ground Out",Ground Out,0.41,0.13,29.4%,-0.011,-0.13,2007,4, 6
2209,43,▼ 6,M Holliday,J Lester,0,___,0-2,Matt Holliday flied out to first.,Fly Out,Fly Out,1.44,0.62,25.5%,-0.039,-0.28,2007,4, 6
2210,44,▼ 6,T Helton,J Lester,1,___,0-2,Todd Helton flied out to left.,"Ball, Ball, Ball, Called Strike, Fly Out",Fly Out,1.03,0.33,22.7%,-0.028,-0.2,2007,4, 6
2211,45,▼ 6,G Atkins,J Lester,2,___,0-2,Garrett Atkins walked.,"Ball, Swinging Strike, Ball, Foul Ball, Ball, Walked",Walk,0.64,0.13,24.8%,0.021,0.14,2007,4, 6
2212,46,▼ 6,R Spilborghs,M Delcarmen,2,1__,0-2,Ryan Spilborghs struck out swinging.,"Ball, Ball, Called Strike, Swinging Strike, Strikeout Swinging",Strikeout,1.26,0.28,20.9%,-0.038,-0.27,2007,4, 6
2213,47,▲ 7,M Lowell,A Cook,0,___,0-2,Mike Lowell homered (Fly).,"Ball, Home Run",Home Run,0.73,0.62,12.7%,0.082,1.0,2007,4, 7
2214,48,▲ 7,J Drew,J Affeldt,0,___,0-3,J.D. Drew struck out swinging.,"Foul Ball, Ball, Swinging Strike, Foul Ball, Ball, Ball, Strikeout Swinging",Strikeout,0.46,0.62,14.0%,-0.013,-0.28,2007,4, 7
2215,49,▲ 7,J Varitek,J Affeldt,1,___,0-3,Jason Varitek singled to left (Grounder).,"Called Strike, Single",Single,0.36,0.33,12.8%,0.012,0.29,2007,4, 7
2216,50,▲ 7,J Lugo,J Affeldt,1,1__,0-3,Julio Lugo non-force gdp to first (Grounder). Jason Varitek out at second.,"Foul Ball, Foul Ball, Non-Force GDP",NonForce GDP,0.6,0.62,15.7%,-0.029,-0.62,2007,4, 7
2217,51,▼ 7,B Hawpe,M Delcarmen,0,___,0-3,Brad Hawpe homered (Fly).,"Ball, Ball, Called Strike, Foul Ball, Ball, Home Run",Home Run,1.23,0.62,25.5%,0.099,1.0,2007,4, 7
2218,52,▼ 7,Y Torrealba,M Delcarmen,0,___,1-3,Yorvit Torrealba flied out to right.,"Ball, Ball, Called Strike, Fly Out",Fly Out,1.63,0.62,21.1%,-0.044,-0.28,2007,4, 7
2219,53,▼ 7,C Sullivan,M Delcarmen,1,___,1-3,Cory Sullivan singled to center (Grounder).,"Called Strike, Ball, Ball, Single",Single,1.19,0.33,25.9%,0.048,0.29,2007,4, 7
2220,54,▼ 7,K Matsui,M Timlin,1,1__,1-3,Kaz Matsui struck out swinging.,"Ball, Called Strike, Swinging Strike, Strikeout Swinging",Strikeout,2.16,0.62,20.3%,-0.055,-0.35,2007,4, 7
2221,55,▼ 7,T Tulowitzki,M Timlin,2,1__,1-3,Troy Tulowitzki struck out swinging.,"Called Strike, Ball, Ball, Ball, Called Strike, Foul Ball, Strikeout Swinging",Strikeout,1.44,0.28,16.0%,-0.044,-0.27,2007,4, 7
2222,56,▲ 8,B Kielty,B Fuentes,0,___,1-3,Bobby Kielty homered (Fly).,Home Run,Home Run,0.62,0.62,8.8%,0.072,1.0,2007,4, 8
2223,57,▲ 8,J Ellsbury,B Fuentes,0,___,1-4,Jacoby Ellsbury singled to shortstop (Grounder).,"Ball, Called Strike, Ball, Single",Single,0.35,0.62,7.5%,0.012,0.41,2007,4, 8
2224,58,▲ 8,D Pedroia,B Fuentes,0,1__,1-4,Dustin Pedroia grounded into a double play to shortstop (Grounder). Jacoby Ellsbury out at second.,"Pickoff Throw (First Base), Pickoff Throw (First Base), Foul Bunt, Pitch Out, Foul Ball, Foul Ball, Pickoff Throw (First Base), Ball, Ball, Grounded Into Double Play",Grounded Into Double Play,0.51,1.02,10.5%,-0.029,-0.89,2007,4, 8
2225,59,▲ 8,D Ortiz,B Fuentes,2,___,1-4,David Ortiz walked.,"Ball, Ball, Ball, Called Strike, Walked",Walk,0.19,0.13,10.0%,0.005,0.14,2007,4, 8
2226,60,▲ 8,M Ramirez,M Corpas,2,1__,1-4,Manny Ramirez struck out swinging.,"Swinging Strike, Called Strike, Pickoff Throw (First Base), Ball, Strikeout Swinging",Strikeout,0.35,0.28,11.0%,-0.01,-0.27,2007,4, 8
2227,61,▼ 8,M Holliday,H Okajima,0,___,1-4,Matt Holliday grounded out to second.,"Foul Ball, Ball, Called Strike, Foul Ball, Ground Out",Ground Out,1.25,0.62,7.6%,-0.034,-0.28,2007,4, 8
2228,62,▼ 8,T Helton,H Okajima,1,___,1-4,Todd Helton singled to left (Grounder).,"Called Strike, Called Strike, Foul Ball, Ball, Single",Single,0.82,0.33,11.2%,0.036,0.29,2007,4, 8
2229,63,▼ 8,G Atkins,H Okajima,1,1__,1-4,Garrett Atkins homered (Fly). Todd Helton scored.,"Called Strike, Ball, Ball, Ball, Home Run",Home Run,1.6,0.62,27.7%,0.165,1.71,2007,4, 8
2230,64,▼ 8,R Spilborghs,J Papelbon,1,___,3-4,Ryan Spilborghs grounded out to shortstop.,"Foul Ball, Ball, Called Strike, Foul Ball, Foul Ball, Ball, Ground Out",Ground Out,1.99,0.33,22.5%,-0.053,-0.2,2007,4, 8
2231,65,▼ 8,B Hawpe,J Papelbon,2,___,3-4,Brad Hawpe flied out to center.,"Called Strike, Swinging Strike, Ball, Foul Ball, Fly Out",Fly Out,1.36,0.13,18.7%,-0.037,-0.13,2007,4, 8
2232,66,▲ 9,M Lowell,M Corpas,0,___,3-4,Mike Lowell flied out to left.,"Called Strike, Fly Out",Fly Out,0.82,0.62,20.9%,-0.022,-0.28,2007,4, 9
2233,67,▲ 9,J Drew,M Corpas,1,___,3-4,J.D. Drew grounded out to second.,"Ball, Ball, Ground Out",Ground Out,0.65,0.33,22.7%,-0.017,-0.2,2007,4, 9
2234,68,▲ 9,J Varitek,M Corpas,2,___,3-4,Jason Varitek grounded out to pitcher.,"Called Strike, Swinging Strike, Ball, Ground Out",Ground Out,0.47,0.13,23.9%,-0.013,-0.13,2007,4, 9
2235,69,▼ 9,Y Torrealba,J Papelbon,0,___,3-4,Yorvit Torrealba grounded out to second.,"Called Strike, Swinging Strike, Ground Out",Ground Out,3.74,0.62,13.7%,-0.102,-0.28,2007,4, 9
2236,70,▼ 9,J Carroll,J Papelbon,1,___,3-4,Jamey Carroll flied out to left.,"Called Strike, Foul Ball, Fly Out",Fly Out,3.0,0.33,5.8%,-0.079,-0.2,2007,4, 9
2237,71,▼ 9,S Smith,J Papelbon,2,___,3-4,Seth Smith struck out swinging.,"Foul Ball, Ball, Ball, Foul Ball, Strikeout Swinging",Strikeout,2.11,0.13,0.0%,-0.058,-0.13,2007,4, 9
2238,1,▲ 1,J Ellsbury,J Fogg,0,___,0-0,Jacoby Ellsbury singled to third (Grounder).,"Ball, Called Strike, Foul Ball, Ball, Ball, Single",Single,0.87,0.62,46.6%,0.034,0.41,2007,3, 1
2239,2,▲ 1,D Pedroia,J Fogg,0,1__,0-0,Dustin Pedroia singled to shortstop (Grounder). Jacoby Ellsbury advanced to 2B.,"Ball, Foul Ball, Pickoff Throw (First Base), Ball, Foul on Hit and Run, Single",Single,1.35,1.02,41.6%,0.05,0.62,2007,3, 1
2240,3,▲ 1,D Ortiz,J Fogg,0,12_,0-0,David Ortiz struck out swinging.,"Swinging Strike, Ball, Ball, Foul Ball, Strikeout Swinging",Strikeout,1.67,1.65,46.6%,-0.05,-0.62,2007,3, 1
2241,4,▲ 1,M Ramirez,J Fogg,1,12_,0-0,Manny Ramirez flied out to left.,"Ball, Ball, Called Strike, Called Strike, Fly Out",Fly Out,1.8,1.03,51.0%,-0.044,-0.53,2007,3, 1
2242,5,▲ 1,M Lowell,J Fogg,2,12_,0-0,Mike Lowell flied out to center.,"Ball, Ball, Called Strike, Ball, Foul Ball, Fly Out",Fly Out,1.54,0.5,55.2%,-0.042,-0.5,2007,3, 1
2243,6,▼ 1,K Matsui,D Matsuzaka,0,___,0-0,Kaz Matsui singled to center (Liner). Kaz Matsui advanced to 2B on error. Error by J.D. Drew.,Single,Single,0.87,0.62,60.6%,0.054,0.64,2007,3, 1
2244,7,▼ 1,T Tulowitzki,D Matsuzaka,0,_2_,0-0,Troy Tulowitzki struck out swinging.,"Ball, Swinging Strike, Called Strike, Ball, Ball, Foul Ball, Strikeout Swinging",Strikeout,1.09,1.26,56.6%,-0.04,-0.48,2007,3, 1
2245,8,▼ 1,M Holliday,D Matsuzaka,1,_2_,0-0,Matt Holliday reached on fielder's choice to pitcher. Kaz Matsui out at third.,"Called Strike, Ball, Fielder's Choice",Fielders Choice,1.14,0.77,52.4%,-0.043,-0.5,2007,3, 1
2246,9,▼ 1,T Helton,D Matsuzaka,2,1__,0-0,Todd Helton reached on fielder's choice to third. Matt Holliday out at second.,"Foul Ball, Ball, Foul Ball, Fielder's Choice",Fielders Choice,0.79,0.28,50.0%,-0.024,-0.27,2007,3, 1
2247,10,▲ 2,J Drew,J Fogg,0,___,0-0,J.D. Drew grounded out to second.,Ground Out,Ground Out,0.93,0.62,52.5%,-0.025,-0.28,2007,3, 2
2248,11,▲ 2,J Varitek,J Fogg,1,___,0-0,Jason Varitek grounded out to shortstop.,"Called Strike, Called Strike, Ground Out",Ground Out,0.68,0.33,54.3%,-0.018,-0.2,2007,3, 2
2249,12,▲ 2,J Lugo,J Fogg,2,___,0-0,Julio Lugo doubled to right (Liner).,"Called Strike, Ball, Ball, Double",Double,0.44,0.13,52.1%,0.022,0.24,2007,3, 2
2250,13,▲ 2,D Matsuzaka,J Fogg,2,_2_,0-0,Daisuke Matsuzaka struck out swinging.,"Called Strike, Ball, Called Strike, Strikeout Swinging",Strikeout,1.14,0.37,55.6%,-0.034,-0.37,2007,3, 2
2251,14,▼ 2,G Atkins,D Matsuzaka,0,___,0-0,Garrett Atkins was hit by a pitch.,Hit By Pitch,Hit By Pitch,0.92,0.62,59.1%,0.035,0.41,2007,3, 2
2252,15,▼ 2,B Hawpe,D Matsuzaka,0,1__,0-0,Brad Hawpe struck out swinging.,"Swinging Strike, Foul Ball, Strikeout Swinging",Strikeout,1.4,1.02,55.6%,-0.035,-0.4,2007,3, 2
2253,16,▼ 2,Y Torrealba,D Matsuzaka,1,1__,0-0,Yorvit Torrealba flied out to left.,"Ball, Fly Out",Fly Out,1.2,0.62,52.5%,-0.031,-0.35,2007,3, 2
2254,17,▼ 2,C Sullivan,D Matsuzaka,2,1__,0-0,Cory Sullivan reached on fielder's choice to shortstop. Garrett Atkins out at second.,"Ball, Foul Ball, Fielder's Choice",Fielders Choice,0.84,0.28,50.0%,-0.025,-0.27,2007,3, 2
2255,18,▲ 3,J Ellsbury,J Fogg,0,___,0-0,Jacoby Ellsbury doubled to left (Liner).,Double,Double,0.99,0.62,43.8%,0.062,0.64,2007,3, 3
2256,19,▲ 3,D Pedroia,J Fogg,0,_2_,0-0,Dustin Pedroia singled to catcher (Bunt Grounder). Jacoby Ellsbury advanced to 3B.,"Ball, Called Strike, Single",Single,1.25,1.26,37.4%,0.064,0.71,2007,3, 3
2257,20,▲ 3,D Ortiz,J Fogg,0,1_3,0-0,David Ortiz doubled to right (Liner). Jacoby Ellsbury scored. Dustin Pedroia advanced to 3B.,Double,Double,1.51,1.96,27.5%,0.099,1.16,2007,3, 3
2258,21,▲ 3,M Ramirez,J Fogg,0,_23,0-1,Manny Ramirez was intentionally walked.,"Intentional Ball, Intentional Ball, Intentional Ball, Intentionally Walked",Walk,1.19,2.12,25.6%,0.019,0.34,2007,3, 3
2259,22,▲ 3,M Lowell,J Fogg,0,123,0-1,"Mike Lowell singled to center (Grounder). Dustin Pedroia
scored. David Ortiz scored. Manny Ramirez advanced to 2B.","Ball, Ball, Called Strike, Single",Single,1.67,2.47,17.5%,0.081,1.18,2007,3, 3
2260,23,▲ 3,J Drew,J Fogg,0,12_,0-3,J.D. Drew flied out to shortstop.,"Called Strike, Ball, Fly Out",Fly Out,1.06,1.65,20.8%,-0.033,-0.62,2007,3, 3
2261,24,▲ 3,J Varitek,J Fogg,1,12_,0-3,Jason Varitek singled to left (Liner). Manny Ramirez out at home. Mike Lowell advanced to 3B.,"Ball, Single",Single,1.21,1.03,23.2%,-0.024,-0.46,2007,3, 3
2262,25,▲ 3,J Lugo,J Fogg,2,1_3,0-3,Julio Lugo walked. Jason Varitek advanced to 2B.,"Ball, Ball, Ball, Walked",Walk,1.17,0.57,21.9%,0.013,0.28,2007,3, 3
2263,26,▲ 3,D Matsuzaka,J Fogg,2,123,0-3,"Daisuke Matsuzaka singled to left (Grounder). Mike Lowell
scored. Jason Varitek scored. Julio Lugo advanced to 3B.",Single,Single,1.79,0.85,11.7%,0.102,1.72,2007,3, 3
2264,27,▲ 3,J Ellsbury,J Fogg,2,1_3,0-5,Jacoby Ellsbury doubled to center (Liner). Julio Lugo scored. Daisuke Matsuzaka advanced to 3B.,"Called Strike, Called Strike, Ball, Ball, Double",Double,0.67,0.57,7.8%,0.039,1.11,2007,3, 3
2265,28,▲ 3,D Pedroia,F Morales,2,_23,0-6,Dustin Pedroia grounded out to third.,"Ball, Ground Out",Ground Out,0.51,0.68,9.4%,-0.016,-0.68,2007,3, 3
2266,29,▼ 3,F Morales,D Matsuzaka,0,___,0-6,Franklin Morales struck out swinging.,"Called Strike, Ball, Swinging Strike, Foul Ball, Foul Ball, Strikeout Swinging",Strikeout,0.52,0.62,8.0%,-0.014,-0.28,2007,3, 3
2267,30,▼ 3,K Matsui,D Matsuzaka,1,___,0-6,Kaz Matsui struck out swinging.,"Called Strike, Ball, Foul Ball, Foul Ball, Foul Ball, Foul Ball, Ball, Ball, Strikeout Swinging",Strikeout,0.35,0.33,7.0%,-0.009,-0.2,2007,3, 3
2268,31,▼ 3,T Tulowitzki,D Matsuzaka,2,___,0-6,Troy Tulowitzki grounded out to shortstop.,"Called Strike, Swinging Strike, Ground Out",Ground Out,0.19,0.13,6.5%,-0.005,-0.13,2007,3, 3
2269,32,▲ 4,D Ortiz,F Morales,0,___,0-6,David Ortiz grounded out to second.,"Called Strike, Ball, Ground Out",Ground Out,0.2,0.62,7.1%,-0.006,-0.28,2007,3, 4
2270,33,▲ 4,M Ramirez,F Morales,1,___,0-6,Manny Ramirez flied out to center.,"Foul Ball, Ball, Ball, Ball, Fly Out",Fly Out,0.15,0.33,7.5%,-0.004,-0.2,2007,3, 4
2271,34,▲ 4,M Lowell,F Morales,2,___,0-6,Mike Lowell grounded out to pitcher.,"Called Strike, Ground Out",Ground Out,0.11,0.13,7.8%,-0.003,-0.13,2007,3, 4
2272,35,▼ 4,M Holliday,D Matsuzaka,0,___,0-6,Matt Holliday grounded out to first.,"Foul Ball, Swinging Strike, Foul Ball, Ball, Foul Ball, Foul Ball, Ground Out",Ground Out,0.49,0.62,6.5%,-0.014,-0.28,2007,3, 4
2273,36,▼ 4,T Helton,D Matsuzaka,1,___,0-6,Todd Helton struck out looking.,"Ball, Called Strike, Ball, Swinging Strike, Foul Ball, Ball, Foul Ball, Foul Ball, Foul Ball, Foul Ball, Foul Ball, Strikeout Looking",Strikeout,0.33,0.33,5.6%,-0.009,-0.2,2007,3, 4
2274,37,▼ 4,G Atkins,D Matsuzaka,2,___,0-6,Garrett Atkins walked.,"Called Strike, Swinging Strike, Ball, Ball, Ball, Walked",Walk,0.17,0.13,6.2%,0.006,0.14,2007,3, 4
2275,38,▼ 4,B Hawpe,D Matsuzaka,2,1__,0-6,Brad Hawpe flied out to shortstop.,Fly Out,Fly Out,0.37,0.28,5.1%,-0.011,-0.27,2007,3, 4
2276,39,▲ 5,J Drew,F Morales,0,___,0-6,J.D. Drew doubled to center (Fly).,"Called Strike, Ball, Double",Double,0.17,0.62,3.9%,0.011,0.64,2007,3, 5
2277,40,▲ 5,J Varitek,F Morales,0,_2_,0-6,Jason Varitek struck out swinging.,"Foul Bunt, Foul Ball, Foul Ball, Foul Ball, Ball, Foul Ball, Strikeout Swinging",Strikeout,0.19,1.26,4.7%,-0.008,-0.48,2007,3, 5
2278,41,▲ 5,J Lugo,F Morales,1,_2_,0-6,Julio Lugo flied out to right.,"Ball, Ball, Foul Ball, Called Strike, Ball, Foul on Hit and Run, Foul Ball, Fly Out",Fly Out,0.22,0.77,5.4%,-0.007,-0.4,2007,3, 5
2279,42,▲ 5,D Matsuzaka,F Morales,2,_2_,0-6,Daisuke Matsuzaka grounded out to second.,"Ball, Ball, Foul Ball, Foul Ball, Ground Out",Ground Out,0.23,0.37,6.2%,-0.007,-0.37,2007,3, 5
2280,43,▼ 5,Y Torrealba,D Matsuzaka,0,___,0-6,Yorvit Torrealba singled to center (Grounder).,Single,Single,0.47,0.62,8.1%,0.019,0.41,2007,3, 5
2281,44,▼ 5,C Sullivan,D Matsuzaka,0,1__,0-6,Cory Sullivan flied out to left.,"Called Strike, Ball, Foul Ball, Fly Out",Fly Out,0.79,1.02,6.2%,-0.019,-0.4,2007,3, 5
2282,45,▼ 5,S Smith,D Matsuzaka,1,1__,0-6,Seth Smith singled to right (Fly). Yorvit Torrealba advanced to 2B.,"Called Strike, Single",Single,0.58,0.62,8.1%,0.02,0.4,2007,3, 5
2283,46,▼ 5,K Matsui,D Matsuzaka,1,12_,0-6,"Kaz Matsui reached on fielder's choice to shortstop. Yorvit
Torrealba out at third. Seth Smith advanced to 2B.","Ball, Called Strike, Ball, Swinging Strike, Fielder's Choice",Fielders Choice,1.03,1.03,5.6%,-0.025,-0.53,2007,3, 5
